,Metal,IsolateID,Replicate,Concentration,factor,hours,od
1083,Se,DR 13,3,0,0,0,0.001
1084,Se,DR 13,1,1,1,0,0.001
1085,Se,DR 13,2,1,1,0,0.001
1086,Se,DR 13,3,1,1,0,0.001
1087,Se,DR 13,1,10,2,0,0.001
1088,Se,DR 13,2,10,2,0,0.001
1089,Se,DR 13,3,10,2,0,0.001
1091,Se,DR 13,2,100,3,0,0.001
1093,Se,DR 13,1,1000,4,0,0.001
1095,Se,DR 13,3,1000,4,0,0.001
1098,Se,DR 13,3,10000,5,0,0.001
3313,Se,DR 26,1,0,0,0,0.001
3314,Se,DR 26,2,0,0,0,0.001
3315,Se,DR 26,3,0,0,0,0.001
3316,Se,DR 26,1,1,1,0,0.001
3317,Se,DR 26,2,1,1,0,0.001
3318,Se,DR 26,3,1,1,0,0.001
3319,Se,DR 26,1,10,2,0,0.001
3320,Se,DR 26,2,10,2,0,0.001
3321,Se,DR 26,3,10,2,0,0.001
3322,Se,DR 26,1,100,3,0,0.001
3323,Se,DR 26,2,100,3,0,0.001
3324,Se,DR 26,3,100,3,0,0.001
3325,Se,DR 26,1,1000,4,0,0.001
3326,Se,DR 26,2,1000,4,0,0.001
3327,Se,DR 26,3,1000,4,0,0.001
3328,Se,DR 26,1,10000,5,0,0.001
3329,Se,DR 26,2,10000,5,0,0.001
3330,Se,DR 26,3,10000,5,0,0.001
5833,Se,DR 52,1,0,0,0,0.001
5834,Se,DR 52,2,0,0,0,0.001
5836,Se,DR 52,1,1,1,0,0.001
5837,Se,DR 52,2,1,1,0,0.001
5838,Se,DR 52,3,1,1,0,0.001
5839,Se,DR 52,1,10,2,0,0.001
5840,Se,DR 52,2,10,2,0,0.001
5841,Se,DR 52,3,10,2,0,0.001
5842,Se,DR 52,1,100,3,0,0.001
5843,Se,DR 52,2,100,3,0,0.001
5844,Se,DR 52,3,100,3,0,0.001
5845,Se,DR 52,1,1000,4,0,0.001
5846,Se,DR 52,2,1000,4,0,0.001
5847,Se,DR 52,3,1000,4,0,0.001
5848,Se,DR 52,1,10000,5,0,0.001
5849,Se,DR 52,2,10000,5,0,0.001
5850,Se,DR 52,3,10000,5,0,0.001
6027,Cd,DR 5,3,1,4,0,0.001
8246,Se,DR 60,2,0,0,0,0.001
8248,Se,DR 60,1,1,1,0,0.001
8249,Se,DR 60,2,1,1,0,0.001
8250,Se,DR 60,3,1,1,0,0.001
8251,Se,DR 60,1,10,2,0,0.001
8252,Se,DR 60,2,10,2,0,0.001
8253,Se,DR 60,3,10,2,0,0.001
8254,Se,DR 60,1,100,3,0,0.001
8255,Se,DR 60,2,100,3,0,0.001
8258,Se,DR 60,2,1000,4,0,0.001
8259,Se,DR 60,3,1000,4,0,0.001
8260,Se,DR 60,1,10000,5,0,0.001
8262,Se,DR 60,3,10000,5,0,0.001
13273,Pb,NO 14,1,0.1,2,0,0.001
13274,Pb,NO 14,2,0.1,2,0,0.001
13276,Pb,NO 14,1,1,3,0,0.001
13299,Zn,NO 14,3,100,4,0,0.001
14221,Se,NO 14,1,0,0,0,0.001
14222,Se,NO 14,2,0,0,0,0.001
14223,Se,NO 14,3,0,0,0,0.001
14224,Se,NO 14,1,1,1,0,0.001
14225,Se,NO 14,2,1,1,0,0.001
14226,Se,NO 14,3,1,1,0,0.001
14227,Se,NO 14,1,10,2,0,0.001
14228,Se,NO 14,2,10,2,0,0.001
14229,Se,NO 14,3,10,2,0,0.001
14230,Se,NO 14,1,100,3,0,0.001
14231,Se,NO 14,2,100,3,0,0.001
14232,Se,NO 14,3,100,3,0,0.001
14233,Se,NO 14,1,1000,4,0,0.001
14234,Se,NO 14,2,1000,4,0,0.001
14235,Se,NO 14,3,1000,4,0,0.001
14236,Se,NO 14,1,10000,5,0,0.001
14237,Se,NO 14,2,10000,5,0,0.001
14238,Se,NO 14,3,10000,5,0,0.001
15481,Se,NO 17,1,0,0,0,0.001
15482,Se,NO 17,2,0,0,0,0.001
15483,Se,NO 17,3,0,0,0,0.001
15484,Se,NO 17,1,1,1,0,0.001
15485,Se,NO 17,2,1,1,0,0.001
15486,Se,NO 17,3,1,1,0,0.001
15487,Se,NO 17,1,10,2,0,0.001
15488,Se,NO 17,2,10,2,0,0.001
15489,Se,NO 17,3,10,2,0,0.001
15490,Se,NO 17,1,100,3,0,0.001
15491,Se,NO 17,2,100,3,0,0.001
15492,Se,NO 17,3,100,3,0,0.001
15493,Se,NO 17,1,1000,4,0,0.001
15494,Se,NO 17,2,1000,4,0,0.001
15495,Se,NO 17,3,1000,4,0,0.001
15496,Se,NO 17,1,10000,5,0,0.001
15497,Se,NO 17,2,10000,5,0,0.001
15498,Se,NO 17,3,10000,5,0,0.001
15702,Zn,NO 22,3,0.1,1,0,0.001
15704,Zn,NO 22,2,1,2,0,0.001
15734,As,NO 22,2,0,0,0,0.001
15740,As,NO 22,2,0.01,2,0,0.001
15741,As,NO 22,3,0.01,2,0,0.001
16633,Se,NO 22,1,0,0,0,0.001
16634,Se,NO 22,2,0,0,0,0.001
16635,Se,NO 22,3,0,0,0,0.001
16636,Se,NO 22,1,1,1,0,0.001
16637,Se,NO 22,2,1,1,0,0.001
16638,Se,NO 22,3,1,1,0,0.001
16639,Se,NO 22,1,10,2,0,0.001
16640,Se,NO 22,2,10,2,0,0.001
16641,Se,NO 22,3,10,2,0,0.001
16642,Se,NO 22,1,100,3,0,0.001
16643,Se,NO 22,2,100,3,0,0.001
16644,Se,NO 22,3,100,3,0,0.001
16645,Se,NO 22,1,1000,4,0,0.001
16646,Se,NO 22,2,1000,4,0,0.001
16647,Se,NO 22,3,1000,4,0,0.001
16648,Se,NO 22,1,10000,5,0,0.001
16649,Se,NO 22,2,10000,5,0,0.001
16815,Cd,SI 2,3,0,0,0,0.001
16819,Cd,SI 2,1,0.01,2,0,0.001
16823,Cd,SI 2,2,0.1,3,0,0.001
16827,Cd,SI 2,3,1,4,0,0.001
16840,Pb,SI 2,1,1,3,0,0.001
16864,Zn,SI 2,1,1000,5,0,0.001
16902,As,SI 2,3,10,5,0,0.001
16914,Cr,SI 2,3,1,3,0,0.001
1090,Se,DR 13,1,100,3,0,0.001
1092,Se,DR 13,3,100,3,0,0.001
1094,Se,DR 13,2,1000,4,0,0.001
1096,Se,DR 13,1,10000,5,0,0.001
1097,Se,DR 13,2,10000,5,0,0.001
8245,Se,DR 60,1,0,0,0,0.001
8247,Se,DR 60,3,0,0,0,0.001
8256,Se,DR 60,3,100,3,0,0.001
8257,Se,DR 60,1,1000,4,0,0.001
8261,Se,DR 60,2,10000,5,0,0.001
13254,Cd,NO 14,3,0.001,1,0,0.001
13272,Pb,NO 14,3,0.01,1,0,0.001
13282,Pb,NO 14,1,100,5,0,0.001
13285,Zn,NO 14,1,0,0,0,0.001
13289,Zn,NO 14,2,0.1,1,0,0.001
13291,Zn,NO 14,1,1,2,0,0.001
13297,Zn,NO 14,1,100,4,0,0.001
13319,Hg,NO 14,2,10,5,0,0.001
13329,As,NO 14,3,0.01,2,0,0.001
13330,As,NO 14,1,0.1,3,0,0.001
13338,As,NO 14,3,10,5,0,0.001
15661,Cd,NO 22,1,0,0,0,0.001
15663,Cd,NO 22,3,0,0,0,0.001
15664,Cd,NO 22,1,0.001,1,0,0.001
15665,Cd,NO 22,2,0.001,1,0,0.001
15666,Cd,NO 22,3,0.001,1,0,0.001
15667,Cd,NO 22,1,0.01,2,0,0.001
15668,Cd,NO 22,2,0.01,2,0,0.001
15669,Cd,NO 22,3,0.01,2,0,0.001
15671,Cd,NO 22,2,0.1,3,0,0.001
15672,Cd,NO 22,3,0.1,3,0,0.001
15673,Cd,NO 22,1,1,4,0,0.001
15685,Pb,NO 22,1,0.1,2,0,0.001
15686,Pb,NO 22,2,0.1,2,0,0.001
15688,Pb,NO 22,1,1,3,0,0.001
15689,Pb,NO 22,2,1,3,0,0.001
15691,Pb,NO 22,1,10,4,0,0.001
15692,Pb,NO 22,2,10,4,0,0.001
15693,Pb,NO 22,3,10,4,0,0.001
15695,Pb,NO 22,2,100,5,0,0.001
15697,Zn,NO 22,1,0,0,0,0.001
15700,Zn,NO 22,1,0.1,1,0,0.001
15701,Zn,NO 22,2,0.1,1,0,0.001
15705,Zn,NO 22,3,1,2,0,0.001
15706,Zn,NO 22,1,10,3,0,0.001
15707,Zn,NO 22,2,10,3,0,0.001
15709,Zn,NO 22,1,100,4,0,0.001
15711,Zn,NO 22,3,100,4,0,0.001
15714,Zn,NO 22,3,1000,5,0,0.001
15715,Hg,NO 22,1,0,0,0,0.001
15716,Hg,NO 22,2,0,0,0,0.001
15717,Hg,NO 22,3,0,0,0,0.001
15719,Hg,NO 22,2,0.001,1,0,0.001
15720,Hg,NO 22,3,0.001,1,0,0.001
15721,Hg,NO 22,1,0.01,2,0,0.001
15722,Hg,NO 22,2,0.01,2,0,0.001
15723,Hg,NO 22,3,0.01,2,0,0.001
15724,Hg,NO 22,1,0.1,3,0,0.001
15725,Hg,NO 22,2,0.1,3,0,0.001
15726,Hg,NO 22,3,0.1,3,0,0.001
15727,Hg,NO 22,1,1,4,0,0.001
15729,Hg,NO 22,3,1,4,0,0.001
15730,Hg,NO 22,1,10,5,0,0.001
15731,Hg,NO 22,2,10,5,0,0.001
15732,Hg,NO 22,3,10,5,0,0.001
15733,As,NO 22,1,0,0,0,0.001
15735,As,NO 22,3,0,0,0,0.001
15736,As,NO 22,1,0.001,1,0,0.001
15737,As,NO 22,2,0.001,1,0,0.001
15738,As,NO 22,3,0.001,1,0,0.001
15739,As,NO 22,1,0.01,2,0,0.001
15742,As,NO 22,1,0.1,3,0,0.001
15745,As,NO 22,1,1,4,0,0.001
15746,As,NO 22,2,1,4,0,0.001
15747,As,NO 22,3,1,4,0,0.001
15748,As,NO 22,1,10,5,0,0.001
15749,As,NO 22,2,10,5,0,0.001
15750,As,NO 22,3,10,5,0,0.001
15751,Cr,NO 22,1,0,0,0,0.001
15752,Cr,NO 22,2,0,0,0,0.001
15753,Cr,NO 22,3,0,0,0,0.001
15755,Cr,NO 22,2,0.01,1,0,0.001
15756,Cr,NO 22,3,0.01,1,0,0.001
15758,Cr,NO 22,2,0.1,2,0,0.001
15759,Cr,NO 22,3,0.1,2,0,0.001
15760,Cr,NO 22,1,1,3,0,0.001
15761,Cr,NO 22,2,1,3,0,0.001
15762,Cr,NO 22,3,1,3,0,0.001
15763,Cr,NO 22,1,10,4,0,0.001
15764,Cr,NO 22,2,10,4,0,0.001
15765,Cr,NO 22,3,10,4,0,0.001
15766,Cr,NO 22,1,100,5,0,0.001
15767,Cr,NO 22,2,100,5,0,0.001
15768,Cr,NO 22,3,100,5,0,0.001
16650,Se,NO 22,3,10000,5,0,0.001
16814,Cd,SI 2,2,0,0,0,0.001
16816,Cd,SI 2,1,0.001,1,0,0.001
16817,Cd,SI 2,2,0.001,1,0,0.001
16818,Cd,SI 2,3,0.001,1,0,0.001
16820,Cd,SI 2,2,0.01,2,0,0.001
16821,Cd,SI 2,3,0.01,2,0,0.001
16822,Cd,SI 2,1,0.1,3,0,0.001
16824,Cd,SI 2,3,0.1,3,0,0.001
16825,Cd,SI 2,1,1,4,0,0.001
16826,Cd,SI 2,2,1,4,0,0.001
16828,Cd,SI 2,1,10,5,0,0.001
16829,Cd,SI 2,2,10,5,0,0.001
16830,Cd,SI 2,3,10,5,0,0.001
16832,Pb,SI 2,2,0,0,0,0.001
16836,Pb,SI 2,3,0.01,1,0,0.001
16837,Pb,SI 2,1,0.1,2,0,0.001
16838,Pb,SI 2,2,0.1,2,0,0.001
16842,Pb,SI 2,3,1,3,0,0.001
16843,Pb,SI 2,1,10,4,0,0.001
16844,Pb,SI 2,2,10,4,0,0.001
16848,Pb,SI 2,3,100,5,0,0.001
16849,Zn,SI 2,1,0,0,0,0.001
16850,Zn,SI 2,2,0,0,0,0.001
16851,Zn,SI 2,3,0,0,0,0.001
16852,Zn,SI 2,1,0.1,1,0,0.001
16853,Zn,SI 2,2,0.1,1,0,0.001
16854,Zn,SI 2,3,0.1,1,0,0.001
16856,Zn,SI 2,2,1,2,0,0.001
16857,Zn,SI 2,3,1,2,0,0.001
16858,Zn,SI 2,1,10,3,0,0.001
16859,Zn,SI 2,2,10,3,0,0.001
16861,Zn,SI 2,1,100,4,0,0.001
16862,Zn,SI 2,2,100,4,0,0.001
16865,Zn,SI 2,2,1000,5,0,0.001
16872,Hg,SI 2,3,0.001,1,0,0.001
16874,Hg,SI 2,2,0.01,2,0,0.001
16875,Hg,SI 2,3,0.01,2,0,0.001
16881,Hg,SI 2,3,1,4,0,0.001
16884,Hg,SI 2,3,10,5,0,0.001
16885,As,SI 2,1,0,0,0,0.001
16898,As,SI 2,2,1,4,0,0.001
16899,As,SI 2,3,1,4,0,0.001
16901,As,SI 2,2,10,5,0,0.001
16903,Cr,SI 2,1,0,0,0,0.001
16905,Cr,SI 2,3,0,0,0,0.001
16907,Cr,SI 2,2,0.01,1,0,0.001
16908,Cr,SI 2,3,0.01,1,0,0.001
16909,Cr,SI 2,1,0.1,2,0,0.001
16910,Cr,SI 2,2,0.1,2,0,0.001
16911,Cr,SI 2,3,0.1,2,0,0.001
16912,Cr,SI 2,1,1,3,0,0.001
16915,Cr,SI 2,1,10,4,0,0.001
16916,Cr,SI 2,2,10,4,0,0.001
16917,Cr,SI 2,3,10,4,0,0.001
16918,Cr,SI 2,1,100,5,0,0.001
16919,Cr,SI 2,2,100,5,0,0.001
2406,Hg,DR 26,2,1,4,0,0.0016
1081,Se,DR 13,1,0,0,0,0.002
1082,Se,DR 13,2,0,0,0,0.002
5835,Se,DR 52,3,0,0,0,0.002
9489,Cr,DR 76,3,0,0,0,0.002
13255,Cd,NO 14,1,0.01,2,0,0.002
13257,Cd,NO 14,3,0.01,2,0,0.002
13268,Pb,NO 14,2,0,0,0,0.002
13270,Pb,NO 14,1,0.01,1,0,0.002
13277,Pb,NO 14,2,1,3,0,0.002
13288,Zn,NO 14,1,0.1,1,0,0.002
13293,Zn,NO 14,3,1,2,0,0.002
13300,Zn,NO 14,1,1000,5,0,0.002
13301,Zn,NO 14,2,1000,5,0,0.002
13302,Zn,NO 14,3,1000,5,0,0.002
13306,Hg,NO 14,1,0.001,1,0,0.002
13311,Hg,NO 14,3,0.01,2,0,0.002
13312,Hg,NO 14,1,0.1,3,0,0.002
13314,Hg,NO 14,3,0.1,3,0,0.002
13317,Hg,NO 14,3,1,4,0,0.002
13321,As,NO 14,1,0,0,0,0.002
13337,As,NO 14,2,10,5,0,0.002
13344,Cr,NO 14,3,0.01,1,0,0.002
13345,Cr,NO 14,1,0.1,2,0,0.002
13346,Cr,NO 14,2,0.1,2,0,0.002
13350,Cr,NO 14,3,1,3,0,0.002
13352,Cr,NO 14,2,10,4,0,0.002
13355,Cr,NO 14,2,100,5,0,0.002
15662,Cd,NO 22,2,0,0,0,0.002
15674,Cd,NO 22,2,1,4,0,0.002
15676,Cd,NO 22,1,10,5,0,0.002
15677,Cd,NO 22,2,10,5,0,0.002
15679,Pb,NO 22,1,0,0,0,0.002
15680,Pb,NO 22,2,0,0,0,0.002
15681,Pb,NO 22,3,0,0,0,0.002
15683,Pb,NO 22,2,0.01,1,0,0.002
15684,Pb,NO 22,3,0.01,1,0,0.002
15687,Pb,NO 22,3,0.1,2,0,0.002
15694,Pb,NO 22,1,100,5,0,0.002
15696,Pb,NO 22,3,100,5,0,0.002
15699,Zn,NO 22,3,0,0,0,0.002
15703,Zn,NO 22,1,1,2,0,0.002
15708,Zn,NO 22,3,10,3,0,0.002
15712,Zn,NO 22,1,1000,5,0,0.002
15713,Zn,NO 22,2,1000,5,0,0.002
15718,Hg,NO 22,1,0.001,1,0,0.002
15728,Hg,NO 22,2,1,4,0,0.002
15744,As,NO 22,3,0.1,3,0,0.002
15754,Cr,NO 22,1,0.01,1,0,0.002
15757,Cr,NO 22,1,0.1,2,0,0.002
16833,Pb,SI 2,3,0,0,0,0.002
16835,Pb,SI 2,2,0.01,1,0,0.002
16839,Pb,SI 2,3,0.1,2,0,0.002
16841,Pb,SI 2,2,1,3,0,0.002
16845,Pb,SI 2,3,10,4,0,0.002
16846,Pb,SI 2,1,100,5,0,0.002
16847,Pb,SI 2,2,100,5,0,0.002
16866,Zn,SI 2,3,1000,5,0,0.002
16868,Hg,SI 2,2,0,0,0,0.002
16869,Hg,SI 2,3,0,0,0,0.002
16870,Hg,SI 2,1,0.001,1,0,0.002
16871,Hg,SI 2,2,0.001,1,0,0.002
16873,Hg,SI 2,1,0.01,2,0,0.002
16877,Hg,SI 2,2,0.1,3,0,0.002
16878,Hg,SI 2,3,0.1,3,0,0.002
16879,Hg,SI 2,1,1,4,0,0.002
16882,Hg,SI 2,1,10,5,0,0.002
16887,As,SI 2,3,0,0,0,0.002
16888,As,SI 2,1,0.001,1,0,0.002
16892,As,SI 2,2,0.01,2,0,0.002
16894,As,SI 2,1,0.1,3,0,0.002
16895,As,SI 2,2,0.1,3,0,0.002
16896,As,SI 2,3,0.1,3,0,0.002
16897,As,SI 2,1,1,4,0,0.002
16900,As,SI 2,1,10,5,0,0.002
16904,Cr,SI 2,2,0,0,0,0.002
16906,Cr,SI 2,1,0.01,1,0,0.002
16913,Cr,SI 2,2,1,3,0,0.002
9423,Pb,DR 76,3,0.1,2,0,0.003
9432,Pb,DR 76,3,100,5,0,0.003
9441,Zn,DR 76,3,1,2,0,0.003
9442,Zn,DR 76,1,10,3,0,0.003
9450,Zn,DR 76,3,1000,5,0,0.003
9451,Hg,DR 76,1,0,0,0,0.003
9453,Hg,DR 76,3,0,0,0,0.003
9454,Hg,DR 76,1,0.001,1,0,0.003
9455,Hg,DR 76,2,0.001,1,0,0.003
9457,Hg,DR 76,1,0.01,2,0,0.003
9496,Cr,DR 76,1,1,3,0,0.003
9498,Cr,DR 76,3,1,3,0,0.003
9502,Cr,DR 76,1,100,5,0,0.003
13250,Cd,NO 14,2,0,0,0,0.003
13253,Cd,NO 14,2,0.001,1,0,0.003
13256,Cd,NO 14,2,0.01,2,0,0.003
13258,Cd,NO 14,1,0.1,3,0,0.003
13260,Cd,NO 14,3,0.1,3,0,0.003
13264,Cd,NO 14,1,10,5,0,0.003
13266,Cd,NO 14,3,10,5,0,0.003
13267,Pb,NO 14,1,0,0,0,0.003
13279,Pb,NO 14,1,10,4,0,0.003
13287,Zn,NO 14,3,0,0,0,0.003
13295,Zn,NO 14,2,10,3,0,0.003
13296,Zn,NO 14,3,10,3,0,0.003
13303,Hg,NO 14,1,0,0,0,0.003
13307,Hg,NO 14,2,0.001,1,0,0.003
13308,Hg,NO 14,3,0.001,1,0,0.003
13309,Hg,NO 14,1,0.01,2,0,0.003
13313,Hg,NO 14,2,0.1,3,0,0.003
13315,Hg,NO 14,1,1,4,0,0.003
13316,Hg,NO 14,2,1,4,0,0.003
13318,Hg,NO 14,1,10,5,0,0.003
13320,Hg,NO 14,3,10,5,0,0.003
13323,As,NO 14,3,0,0,0,0.003
13325,As,NO 14,2,0.001,1,0,0.003
13326,As,NO 14,3,0.001,1,0,0.003
13334,As,NO 14,2,1,4,0,0.003
13335,As,NO 14,3,1,4,0,0.003
13341,Cr,NO 14,3,0,0,0,0.003
13347,Cr,NO 14,3,0.1,2,0,0.003
13348,Cr,NO 14,1,1,3,0,0.003
13353,Cr,NO 14,3,10,4,0,0.003
13354,Cr,NO 14,1,100,5,0,0.003
15670,Cd,NO 22,1,0.1,3,0,0.003
15675,Cd,NO 22,3,1,4,0,0.003
15678,Cd,NO 22,3,10,5,0,0.003
15690,Pb,NO 22,3,1,3,0,0.003
15710,Zn,NO 22,2,100,4,0,0.003
15743,As,NO 22,2,0.1,3,0,0.003
16834,Pb,SI 2,1,0.01,1,0,0.003
16867,Hg,SI 2,1,0,0,0,0.003
16880,Hg,SI 2,2,1,4,0,0.003
16883,Hg,SI 2,2,10,5,0,0.003
16890,As,SI 2,3,0.001,1,0,0.003
16891,As,SI 2,1,0.01,2,0,0.003
16893,As,SI 2,3,0.01,2,0,0.003
17893,Se,SI 2,1,0,0,0,0.003
17894,Se,SI 2,2,0,0,0,0.003
17897,Se,SI 2,2,1,1,0,0.003
17899,Se,SI 2,1,10,2,0,0.003
17900,Se,SI 2,2,10,2,0,0.003
17903,Se,SI 2,2,100,3,0,0.003
17904,Se,SI 2,3,100,3,0,0.003
17909,Se,SI 2,2,10000,5,0,0.003
17910,Se,SI 2,3,10000,5,0,0.003
17902,Se,SI 2,1,100,3,0,0.0033
9397,Cd,DR 76,1,0,0,0,0.004
9399,Cd,DR 76,3,0,0,0,0.004
9402,Cd,DR 76,3,0.001,1,0,0.004
9404,Cd,DR 76,2,0.01,2,0,0.004
9409,Cd,DR 76,1,1,4,0,0.004
9414,Cd,DR 76,3,10,5,0,0.004
9415,Pb,DR 76,1,0,0,0,0.004
9420,Pb,DR 76,3,0.01,1,0,0.004
9424,Pb,DR 76,1,1,3,0,0.004
9426,Pb,DR 76,3,1,3,0,0.004
9429,Pb,DR 76,3,10,4,0,0.004
9431,Pb,DR 76,2,100,5,0,0.004
9433,Zn,DR 76,1,0,0,0,0.004
9434,Zn,DR 76,2,0,0,0,0.004
9435,Zn,DR 76,3,0,0,0,0.004
9445,Zn,DR 76,1,100,4,0,0.004
9447,Zn,DR 76,3,100,4,0,0.004
9448,Zn,DR 76,1,1000,5,0,0.004
9449,Zn,DR 76,2,1000,5,0,0.004
9459,Hg,DR 76,3,0.01,2,0,0.004
9460,Hg,DR 76,1,0.1,3,0,0.004
9461,Hg,DR 76,2,0.1,3,0,0.004
9462,Hg,DR 76,3,0.1,3,0,0.004
9463,Hg,DR 76,1,1,4,0,0.004
9467,Hg,DR 76,2,10,5,0,0.004
9469,As,DR 76,1,0,0,0,0.004
9470,As,DR 76,2,0,0,0,0.004
9471,As,DR 76,3,0,0,0,0.004
9473,As,DR 76,2,0.001,1,0,0.004
9474,As,DR 76,3,0.001,1,0,0.004
9481,As,DR 76,1,1,4,0,0.004
9482,As,DR 76,2,1,4,0,0.004
9483,As,DR 76,3,1,4,0,0.004
9484,As,DR 76,1,10,5,0,0.004
9486,As,DR 76,3,10,5,0,0.004
9490,Cr,DR 76,1,0.01,1,0,0.004
9492,Cr,DR 76,3,0.01,1,0,0.004
9493,Cr,DR 76,1,0.1,2,0,0.004
9494,Cr,DR 76,2,0.1,2,0,0.004
9499,Cr,DR 76,1,10,4,0,0.004
9500,Cr,DR 76,2,10,4,0,0.004
9501,Cr,DR 76,3,10,4,0,0.004
9503,Cr,DR 76,2,100,5,0,0.004
9504,Cr,DR 76,3,100,5,0,0.004
10375,Se,DR 76,1,10,2,0,0.004
13249,Cd,NO 14,1,0,0,0,0.004
13251,Cd,NO 14,3,0,0,0,0.004
13262,Cd,NO 14,2,1,4,0,0.004
13263,Cd,NO 14,3,1,4,0,0.004
13265,Cd,NO 14,2,10,5,0,0.004
13269,Pb,NO 14,3,0,0,0,0.004
13271,Pb,NO 14,2,0.01,1,0,0.004
13275,Pb,NO 14,3,0.1,2,0,0.004
13280,Pb,NO 14,2,10,4,0,0.004
13281,Pb,NO 14,3,10,4,0,0.004
13283,Pb,NO 14,2,100,5,0,0.004
13284,Pb,NO 14,3,100,5,0,0.004
13286,Zn,NO 14,2,0,0,0,0.004
13292,Zn,NO 14,2,1,2,0,0.004
13298,Zn,NO 14,2,100,4,0,0.004
13327,As,NO 14,1,0.01,2,0,0.004
13331,As,NO 14,2,0.1,3,0,0.004
13339,Cr,NO 14,1,0,0,0,0.004
13342,Cr,NO 14,1,0.01,1,0,0.004
13343,Cr,NO 14,2,0.01,1,0,0.004
13351,Cr,NO 14,1,10,4,0,0.004
15682,Pb,NO 22,1,0.01,1,0,0.004
15698,Zn,NO 22,2,0,0,0,0.004
16813,Cd,SI 2,1,0,0,0,0.004
16831,Pb,SI 2,1,0,0,0,0.004
16876,Hg,SI 2,1,0.1,3,0,0.004
17895,Se,SI 2,3,0,0,0,0.004
17896,Se,SI 2,1,1,1,0,0.004
17901,Se,SI 2,3,10,2,0,0.004
17905,Se,SI 2,1,1000,4,0,0.004
17906,Se,SI 2,2,1000,4,0,0.004
17907,Se,SI 2,3,1000,4,0,0.004
17908,Se,SI 2,1,10000,5,0,0.004
8426,Cd,DR+72,2,0,0,0,0.005
9400,Cd,DR 76,1,0.001,1,0,0.005
9405,Cd,DR 76,3,0.01,2,0,0.005
9406,Cd,DR 76,1,0.1,3,0,0.005
9408,Cd,DR 76,3,0.1,3,0,0.005
9410,Cd,DR 76,2,1,4,0,0.005
9411,Cd,DR 76,3,1,4,0,0.005
9413,Cd,DR 76,2,10,5,0,0.005
9419,Pb,DR 76,2,0.01,1,0,0.005
9421,Pb,DR 76,1,0.1,2,0,0.005
9425,Pb,DR 76,2,1,3,0,0.005
9427,Pb,DR 76,1,10,4,0,0.005
9437,Zn,DR 76,2,0.1,1,0,0.005
9438,Zn,DR 76,3,0.1,1,0,0.005
9440,Zn,DR 76,2,1,2,0,0.005
9443,Zn,DR 76,2,10,3,0,0.005
9444,Zn,DR 76,3,10,3,0,0.005
9446,Zn,DR 76,2,100,4,0,0.005
9452,Hg,DR 76,2,0,0,0,0.005
9456,Hg,DR 76,3,0.001,1,0,0.005
9465,Hg,DR 76,3,1,4,0,0.005
9466,Hg,DR 76,1,10,5,0,0.005
9468,Hg,DR 76,3,10,5,0,0.005
9480,As,DR 76,3,0.1,3,0,0.005
9485,As,DR 76,2,10,5,0,0.005
9487,Cr,DR 76,1,0,0,0,0.005
9488,Cr,DR 76,2,0,0,0,0.005
9491,Cr,DR 76,2,0.01,1,0,0.005
9497,Cr,DR 76,2,1,3,0,0.005
11817,Se,DR+72,3,10,2,0,0.005
13305,Hg,NO 14,3,0,0,0,0.005
13310,Hg,NO 14,2,0.01,2,0,0.005
13333,As,NO 14,1,1,4,0,0.005
13340,Cr,NO 14,2,0,0,0,0.005
16860,Zn,SI 2,3,10,3,0,0.005
16886,As,SI 2,2,0,0,0,0.005
17898,Se,SI 2,3,1,1,0,0.005
6020,Cd,DR 5,2,0.01,2,0,0.006
6034,Pb,DR 5,1,0.01,1,0,0.006
6041,Pb,DR 5,2,1,3,0,0.006
9401,Cd,DR 76,2,0.001,1,0,0.006
9407,Cd,DR 76,2,0.1,3,0,0.006
9416,Pb,DR 76,2,0,0,0,0.006
9422,Pb,DR 76,2,0.1,2,0,0.006
9428,Pb,DR 76,2,10,4,0,0.006
9436,Zn,DR 76,1,0.1,1,0,0.006
9458,Hg,DR 76,2,0.01,2,0,0.006
9472,As,DR 76,1,0.001,1,0,0.006
9475,As,DR 76,1,0.01,2,0,0.006
9476,As,DR 76,2,0.01,2,0,0.006
9477,As,DR 76,3,0.01,2,0,0.006
9495,Cr,DR 76,3,0.1,2,0,0.006
10371,Se,DR 76,3,0,0,0,0.006
10373,Se,DR 76,2,1,1,0,0.006
10374,Se,DR 76,3,1,1,0,0.006
10376,Se,DR 76,2,10,2,0,0.006
10377,Se,DR 76,3,10,2,0,0.006
10379,Se,DR 76,2,100,3,0,0.006
10380,Se,DR 76,3,100,3,0,0.006
10381,Se,DR 76,1,1000,4,0,0.006
10382,Se,DR 76,2,1000,4,0,0.006
10383,Se,DR 76,3,1000,4,0,0.006
11819,Se,DR+72,2,100,3,0,0.006
13252,Cd,NO 14,1,0.001,1,0,0.006
13259,Cd,NO 14,2,0.1,3,0,0.006
13278,Pb,NO 14,3,1,3,0,0.006
13290,Zn,NO 14,3,0.1,1,0,0.006
13294,Zn,NO 14,1,10,3,0,0.006
13304,Hg,NO 14,2,0,0,0,0.006
13322,As,NO 14,2,0,0,0,0.006
13324,As,NO 14,1,0.001,1,0,0.006
13356,Cr,NO 14,3,100,5,0,0.006
14491,Cr,NO 17,1,0,0,0,0.006
